Name,Company,Position,Location,Salary,Level,Link to jobs
Fitter/Armourer,Ventia,Mechanical Engineering (Engineering),"West End, Northern QLD",None,Full time,https://www.seek.com.au/job/74781486?type=promoted&ref=search-standalone
Reliability Manager,Nexus Executive Services,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74750786?type=promoted&ref=search-standalone
Engineer - Mechanical,Glencore,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74779287?type=standout&ref=search-standalone
Undergraduate Engineer,THE BMD GROUP,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74554844?type=standout&ref=search-standalone
Project Engineer,THE BMD GROUP,Project Engineering (Engineering),"Townsville, Northern QLD",Base plus Super plus Tot Ute+Phone+Laptop+uplift,Full time,https://www.seek.com.au/job/74690694?type=standout&ref=search-standalone
Lead Rotating Equipment Engineer,INCITEC PIVOT LIMITED,Mechanical Engineering (Engineering),"Townsville, Northern QLD","$180,000 – $190,000 base + allowance and bonus ",Full time,https://www.seek.com.au/job/74517459?type=standout&ref=search-standalone
Marine Asset Coordinator ,Australian Institute of Marine Science,Systems Engineering (Engineering),"Townsville, Northern QLD","$113,275 to $124,181 per annum plus 15.4% super",Full time,https://www.seek.com.au/job/74785624?type=standout&ref=search-standalone
MECHANICAL DRAFTSPERSON / METROLOGY TECHNICIAN,Scan Tech 3D,<br/>,"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74660319?type=standard&ref=search-standalone
MECHANICAL DRAFTSPERSON - CADET,Scan Tech 3D Pty Ltd,Government - Federal (Government & Defence),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74656906?type=standard&ref=search-standalone
Mechanical Engineering Superintendent,Wilmar Sugar Pty Ltd,Engineering Drafting (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74484342?type=standard&ref=search-standalone
Process Engineer/Graduate,Sun Metals,Engineering Drafting (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74481885?type=standout&ref=search-standalone
Reliability Manager,Nexus Executive Services,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74750786?type=standout&ref=search-standalone
Graduate Mechanical Engineer,Raion Engineering Pty Ltd,Process Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74347815?type=standard&ref=search-standalone
Manager Mechanical Maintenance,Wilmar Sugar Pty Ltd,Maintenance (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74616506?type=standout&ref=search-standalone
SMP Estimator,DGH Engineering,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74723438?type=standout&ref=search-standalone
2025 KPMG Graduate Program - Engineering,GradConnection,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74492303?type=standout&ref=search-standalone
Manager Mechanical Maintenance,Wilmar Sugar Pty Ltd,Civil/Structural Engineering (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74616507?type=standard&ref=search-standalone
Vessel Maintenance / Coxswain,Cumberland Charter Yachts,Other (Engineering),"Airlie Beach, Northern QLD",$37 – $40 per hour,Casual/Vacation,https://www.seek.com.au/job/74645003?type=standard&ref=search-standalone
Structural Drafter / Designer - Townsville,Harris Kmon Solutions,Management (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74777842?type=standout&ref=search-standalone
Maintenance Electrician OR Fitter,Tip Top,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74813682?type=standout&ref=search-standalone
Manager Engineering and Development,Port of Townsville,Engineering Drafting (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74482905?type=standout&ref=search-standalone
Project Manager,THE BMD GROUP,Maintenance (Engineering),"Townsville, Northern QLD",Base plus Super plus Vehicle + Phone +Laptop,Full time,https://www.seek.com.au/job/74572440?type=standout&ref=search-standalone
Fitter/Armourer,Ventia,Management (Engineering),"West End, Northern QLD",None,Full time,https://www.seek.com.au/job/74442792?type=standout&ref=search-standalone
Reliability Manager,Nexus Executive Services,<br/>,"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74387404?type=standout&ref=search-standalone
Engineer - Mechanical,Glencore,Government - State (Government & Defence),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74375984?type=standard&ref=search-standalone
Undergraduate Engineer,THE BMD GROUP,Project Management (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74620620?type=standard&ref=search-standalone
Project Engineer,THE BMD GROUP,Mechanical Engineering (Engineering),"Townsville, Northern QLD",Base plus Super plus Tot Ute+Phone+Laptop+uplift,Full time,https://www.seek.com.au/job/74441605?type=standout&ref=search-standalone
Lead Rotating Equipment Engineer,INCITEC PIVOT LIMITED,Maintenance (Engineering),"Townsville, Northern QLD","$180,000 – $190,000 base + allowance and bonus ",Full time,https://www.seek.com.au/job/74444529?type=standout&ref=search-standalone
Marine Asset Coordinator ,Australian Institute of Marine Science,Mechanical Engineering (Engineering),"Townsville, Northern QLD","$113,275 to $124,181 per annum plus 15.4% super",Full time,https://www.seek.com.au/job/74571733?type=standout&ref=search-standalone
MECHANICAL DRAFTSPERSON / METROLOGY TECHNICIAN,Scan Tech 3D,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74762568?type=standard&ref=search-standalone
MECHANICAL DRAFTSPERSON - CADET,Scan Tech 3D Pty Ltd,Project Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74484280?type=standard&ref=search-standalone
Mechanical Engineering Superintendent,Wilmar Sugar Pty Ltd,Mechanical Engineering (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74350510?type=standout&ref=search-standalone
Process Engineer/Graduate,Sun Metals,Systems Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74781486?type=standout&ref=search-standalone
Reliability Manager,Nexus Executive Services,<br/>,"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/73702087?type=standard&ref=search-standalone
Graduate Mechanical Engineer,Raion Engineering Pty Ltd,Government - Federal (Government & Defence),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74502303?type=standout&ref=search-standalone
Manager Mechanical Maintenance,Wilmar Sugar Pty Ltd,Engineering Drafting (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74489224?type=standout&ref=search-standalone
SMP Estimator,DGH Engineering,Engineering Drafting (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74417527?type=standout&ref=search-standalone
2025 KPMG Graduate Program - Engineering,GradConnection,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74263393?type=standout&ref=search-standalone
Manager Mechanical Maintenance,Wilmar Sugar Pty Ltd,Process Engineering (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74312872?type=standout&ref=search-standalone
Vessel Maintenance / Coxswain,Cumberland Charter Yachts,Maintenance (Engineering),"Airlie Beach, Northern QLD",$37 – $40 per hour,Casual/Vacation,https://www.seek.com.au/job/74409717?type=standout&ref=search-standalone
Structural Drafter / Designer - Townsville,Harris Kmon Solutions,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74417562?type=standout&ref=search-standalone
Maintenance Electrician OR Fitter,Tip Top,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74530805?type=standout&ref=search-standalone
Manager Engineering and Development,Port of Townsville,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74645791?type=standard&ref=search-standalone
Project Manager,THE BMD GROUP,Other (Engineering),"Townsville, Northern QLD",Base plus Super plus Vehicle + Phone +Laptop,Full time,https://www.seek.com.au/job/74483801?type=standout&ref=search-standalone
"Graduate - Mechanical Engineer, Zinc Assets Australia",Glencore,Management (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74777263?type=standout&ref=search-standalone
Project Engineer,Delta Group,Maintenance (Engineering),"Bowen, Northern QLD",None,Full time,https://www.seek.com.au/job/74139737?type=standout&ref=search-standalone
Junior Programmer / Estimator / Draftsperson,NEM Group Pty Ltd,Engineering Drafting (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74183511?type=standout&ref=search-standalone
Building Services Engineer (Mechanical or Electrical),RecruitR Pty Ltd,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74216335?type=standout&ref=search-standalone
Coordinator Water Networks,Townsville City Council,Management (Engineering),"Townsville, Northern QLD",Base plus Super plus Tot Ute+Phone+Laptop+uplift,Full time,https://www.seek.com.au/job/74354744?type=standard&ref=search-standalone
Project Engineer,Fulton Hogan Australia Pty Limited,<br/>,"Townsville, Northern QLD","$180,000 – $190,000 base + allowance and bonus ",Full time,https://www.seek.com.au/job/74444913?type=standard&ref=search-standalone
Aircraft Maintenance Engineer - Mechanical,Boeing Defence Australia,Government - State (Government & Defence),"Townsville, Northern QLD","$113,275 to $124,181 per annum plus 15.4% super",Full time,https://www.seek.com.au/job/74233567?type=standout&ref=search-standalone
Civil Project Engineer,CES Civil NQ Pty Ltd,Project Management (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74442812?type=standout&ref=search-standalone
Mechanical Maintenance Superintendent,Wilmar Sugar Pty Ltd,Mechanical Engineering (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74457685?type=standout&ref=search-standalone
Graduate Program (Indigenous Australians),ACHIEVE Group Australia,Project Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74443579?type=standout&ref=search-standalone
Fitter/Armourer,Ventia,Other (Engineering),"West End, Northern QLD",None,Full time,https://www.seek.com.au/job/74156579?type=standout&ref=search-standalone
Site Engineer,Shamrock Civil,Building Services Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74156599?type=standout&ref=search-standalone
Site Engineer,THE BMD GROUP,Automotive Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74360128?type=standout&ref=search-standalone
"2025 KPMG Graduate Program – Environmental, Governance and Social",GradConnection,<br/>,"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74102619?type=standard&ref=search-standalone
2025 CIMIC Group Graduate Program - UGL - Civil Engineer,UGL - Corporate,Government - Local (Government & Defence),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74237278?type=standard&ref=search-standalone
Mechanical Reliability Engineer,Barclay Recruitment,Project Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74240360?type=standout&ref=search-standalone
Civil Engineering Student - Townsville,Queensland Rail,Maintenance (Engineering),"Townsville, Northern QLD",None,Part time,https://www.seek.com.au/job/74571630?type=standout&ref=search-standalone
PROJECT MANAGER,Wulguru Group,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",$37 – $40 per hour,Full time,https://www.seek.com.au/job/74442820?type=standard&ref=search-standalone
2025 CIMIC Group Graduate Program - UGL - Electrical Engineer,UGL - Corporate,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74140617?type=standout&ref=search-standalone
Environmental Engineer/Officer,Hays | Sustainability,Other (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74144232?type=standout&ref=search-standalone
Senior Design Engineer (Electrical Instrumentation &amp; Control),Wilmar Sugar Pty Ltd,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74787725?type=standout&ref=search-standalone
Civil Engineer,Sun Metals,Civil/Structural Engineering (Engineering),"Stuart, Northern QLD",Base plus Super plus Vehicle + Phone +Laptop,Full time,https://www.seek.com.au/job/74396113?type=standout&ref=search-standalone
Fitter/Armourer,Ventia,Civil/Structural Engineering (Engineering),"West End, Northern QLD",None,Full time,https://www.seek.com.au/job/74140808?type=standout&ref=search-standalone
Reliability Manager,Nexus Executive Services,Management (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74146338?type=standard&ref=search-standalone
Engineer - Mechanical,Glencore,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",$25 – $30 per hour,Full time,https://www.seek.com.au/job/74136123?type=standout&ref=search-standalone
Undergraduate Engineer,THE BMD GROUP,Mechanical Engineering (Engineering),"Townsville, Northern QLD",Range $130-180k (on experience),Full time,https://www.seek.com.au/job/74102350?type=standout&ref=search-standalone
Project Engineer,THE BMD GROUP,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74304513?type=standout&ref=search-standalone
Lead Rotating Equipment Engineer,INCITEC PIVOT LIMITED,<br/>,"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74352146?type=standout&ref=search-standalone
Marine Asset Coordinator ,Australian Institute of Marine Science,Government - State (Government & Defence),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74309039?type=standard&ref=search-standalone
MECHANICAL DRAFTSPERSON / METROLOGY TECHNICIAN,Scan Tech 3D,Project Management (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74136090?type=standout&ref=search-standalone
MECHANICAL DRAFTSPERSON - CADET,Scan Tech 3D Pty Ltd,Electrical/Electronic Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74306123?type=standout&ref=search-standalone
